hari_ke,tanggal,total_kasus,kasus_baru,total_kematian,kematian_baru,total_sembuh,sembuh_baru,kasus_aktif,DR,RR,CAR
78,18 Mei,18010,496,1191,43,4324,195,12495,0.0661,0.2400,0.6938
79,19 Mei,18496,486,1221,30,4467,143,12808,0.0660,0.2420,0.6925
80,20 Mei,19189,693,1242,21,4575,108,13372,0.0647,0.2380,0.6969
81,21 Mei,20162,973,1278,36,4838,263,14046,0.0634,0.2400,0.6967
82,22 Mei,20796,634,1326,48,5057,219,14413,0.0638,0.2430,0.6931
83,23 Mei,21745,949,1351,25,5249,192,15145,0.0621,0.2410,0.6965
84,24 Mei,22271,526,1372,21,5402,153,15497,0.0616,0.2430,0.6958
85,25 Mei,22750,479,1391,19,5642,240,15717,0.0611,0.2480,0.6909
86,26 Mei,23165,415,1418,27,5877,235,15870,0.0612,0.2540,0.6851
87,27 Mei,23851,686,1473,55,6057,180,16321,0.0618,0.2540,0.6843
88,28 Mei,24538,687,1496,23,6240,183,16802,0.0610,0.2540,0.6847
89,29 Mei,25216,678,1520,24,6492,252,17204,0.0603,0.2580,0.6823
90,30 Mei,25773,557,1573,53,7015,523,17185,0.0610,0.2720,0.6668
91,31 Mei,26473,700,1613,40,7308,293,17552,0.0609,0.2760,0.6630
92,1 Juni,26940,467,1641,28,7637,329,17662,0.0609,0.2840,0.6556
93,2 Juni,27549,609,1663,22,7935,298,17951,0.0604,0.2880,0.6516
94,3 Juni,28233,684,1698,35,8406,471,18129,0.0601,0.2980,0.6421
95,4 Juni,28818,585,1721,23,8892,486,18205,0.0597,0.3090,0.6317
96,5 Juni,29521,703,1770,49,9443,551,18308,0.0600,0.3200,0.6202
97,6 Juni,30514,993,1801,31,9907,464,18806,0.0590,0.3250,0.6163
98,7 Juni,31186,672,1851,50,10498,591,18837,0.0594,0.3370,0.6040
99,8 Juni,32033,847,1883,32,10904,406,19246,0.0588,0.3400,0.6008
100,9 Juni,33076,1043,1923,40,11414,510,19739,0.0581,0.3450,0.5968
101,10 Juni,34316,1241,1959,36,12129,715,20228,0.0571,0.3540,0.5895
102,11 Juni,35295,979,2000,41,12636,507,20659,0.0567,0.3580,0.5853
103,12 Juni,36406,1111,2048,48,13213,577,21145,0.0563,0.3630,0.5808
104,13 Juni,37420,1014,2091,43,13776,563,21553,0.0559,0.3680,0.5760
105,14 Juni,38277,857,2134,43,14531,755,21612,0.0558,0.3800,0.5646
106,15 Juni,39294,1017,2198,64,15123,592,21973,0.0559,0.3850,0.5592
107,16 Juni,40400,1106,2231,33,15703,580,22466,0.0552,0.3890,0.5561
108,17 Juni,41431,1031,2276,45,16243,540,22912,0.0549,0.3920,0.5530
109,18 Juni,42762,1331,2339,63,16798,555,23625,0.0547,0.3930,0.5525
110,19 Juni,43803,1041,2373,34,17349,551,24081,0.0542,0.3960,0.5498
111,20 Juni,45029,1226,2429,56,17883,534,24717,0.0539,0.3970,0.5489
112,21 Juni,45891,862,2465,36,18404,521,25022,0.0537,0.4010,0.5452
113,22 Juni,46845,954,2500,35,18735,331,25610,0.0534,0.4000,0.5467
114,23 Juni,47896,1051,2535,35,19241,506,26120,0.0529,0.4020,0.5453
115,24 Juni,49009,1113,2573,38,19658,417,26778,0.0525,0.4010,0.5464
116,25 Juni,50187,1178,2620,47,20449,791,27118,0.0522,0.4080,0.5403
117,26 Juni,51427,1240,2683,63,21333,884,27411,0.0522,0.4150,0.5330
118,27 Juni,52812,1385,2720,37,21909,576,28183,0.0515,0.4150,0.5336
119,28 Juni,54010,1198,2754,34,22936,1027,28320,0.0510,0.4247,0.5243
120,29 Juni,55092,1082,2805,51,23800,864,28487,0.0509,0.4320,0.5171
121,30 Juni,56385,1293,2876,71,24806,1006,28703,0.0510,0.4399,0.5091
122,1 Juli,57770,1385,2934,58,25595,789,29241,0.0508,0.4431,0.5062
